Number,Target variable,Gluteus medius,Gluteus minimus,Adductor longus,Adductor brevis,Adductor magnus,Tensor fasciae latae,Gracilis,Gluteus maximus,Psoas major,Quadriceps,Piriformis,Ipsilateral erector spinae,Contralateral erector spinae,Ipsilateral internal oblique,Contralateral internal oblique,Ipsilateral external oblique,Contralateral external oblique
479,15.14190514,0.38393328,2.41491348,22.64429114,3.75602578,13.99623696,7.25492678,6.26308135,3.84909664,41.6624824,18.27431941,5.27754431,128.3944744,68.58949503,78.00112006,32.79236465,28.72047206,49.87781249
480,15.02286236,-0.29318438,1.2081016,10.57084023,12.97041104,19.28344948,6.80406872,6.26089396,7.94676243,41.15513518,0.94110055,1.31892273,87.61679175,76.88831113,28.93590257,30.79384594,26.34854108,55.8667832
481,9.353800688,1.92237129,9.04872586,18.70663956,4.16365349,2.331112566,10.22585934,2.6433281,1.719783892,36.59162028,-1.42614663,2.60620609,171.2445861,66.96987209,28.55801633,24.96273715,23.20451391,19.52695666
482,9.615226565,0.35699087,7.82399412,19.45787552,8.03302298,2.331112566,10.12559502,3.23908776,0.90706409,37.37178399,-0.40520578,0.71268062,125.1440574,94.84450251,16.91661453,31.95711597,19.1484234,26.13323237
483,9.762928157,-1.13648244,4.81078588,19.60339852,16.01330797,1.98732963,10.04115855,4.1941779,3.39142854,38.2851726,1.46391786,-0.96609691,133.3408471,150.9696438,5.02962182,32.38476565,9.40107727,28.63241109
484,9.783839651,-2.28448927,5.69602952,19.43780102,13.34152138,1.48847766,10.29196559,4.0730658,1.20669066,39.8445354,0.27855053,-1.49352446,245.1128147,170.344382,5.10617645,28.32093985,6.09449004,24.62550809
485,9.69650624,-2.964216,8.57831833,20.8201305,7.00479799,7.881241822,10.56885148,3.26741673,2.120147268,41.6363619,1.578793356,-0.89119274,423.6741335,170.1948719,7.86174076,4.58146737,4.30796259,8.36553876
486,9.507966735,-3.31863941,7.49416414,20.41394887,9.92912039,2.117754736,10.4090554,3.70140443,1.666236524,42.41904093,1.578793356,-0.58747652,362.0126178,164.5377365,7.98447166,3.65398618,3.57271453,8.77751985
487,25.95049089,6.41081588,16.31829353,56.42218865,7.93944598,6.262456994,22.44331278,4.14887876,2.01941017,50.2993048,1.53664993,9.12948992,338.7998299,63.72622126,168.9496827,40.33606104,33.03352622,54.04424284
488,26.83575323,5.16668474,12.90935205,56.78306914,10.59169049,6.582674306,21.34506499,4.69647094,1.73991132,50.33932461,4.24214938,12.57471831,315.4613298,73.86241299,153.4967041,40.40791841,32.05379651,41.41213128
489,27.33491388,3.42406105,5.33197615,55.70796291,27.61835856,9.65615959,20.12822327,6.53333541,2.45341557,50.43297456,10.46136189,7.25910637,253.0938724,116.7542928,102.6110628,40.50071463,33.03196998,48.08296056
490,27.3952298,0.62954637,4.0187797,39.18303103,44.94905876,5.4422163,19.2209932,9.24443571,2.52946113,50.65359177,15.22978304,1.47618951,202.2862282,168.1593731,58.63016505,40.92194417,26.45629894,61.29217828
491,27.02282585,-2.20304847,3.91892119,52.99637154,21.53846952,11.43662413,18.29394845,9.80815623,1.55208525,50.92936661,15.69941391,-0.64234104,169.3200237,235.4770119,37.37678588,38.17649095,28.28896508,77.68480433
492,26.1212598,-4.59389393,3.52388935,28.28886335,4.58504345,22.81843854,17.29474672,9.7989305,0.67388385,51.00353806,19.44353914,-2.48808382,133.1848117,305.583718,29.88404973,38.5076579,24.23175615,85.83163222
493,21.34286266,1.70903845,6.53991987,15.18222016,3.64226118,11.00667883,9.42746333,2.58039121,3.97057391,41.68029475,2.11227847,2.7680859,208.8877014,140.0774214,40.60861987,9.38512999,32.17030957,27.54147957
494,21.50965382,0.62397208,4.64019375,20.89512929,7.32919543,11.00667883,9.34228054,3.21326322,4.073925574,28.92906296,4.53031506,0.67715471,271.0119491,95.85925545,40.87918341,5.40212701,34.22004425,22.21736599
495,21.62281105,-0.65177775,4.24647444,21.71419049,18.56520695,4.3667322,9.18196615,4.5500033,2.51099457,42.39047131,7.41045639,-1.08231338,302.4781929,57.55440382,41.82123335,3.51277231,34.75869542,15.16699396
496,21.58633936,-0.89684421,4.90361102,20.67829148,10.65183707,10.78494824,9.10320665,5.89927924,6.34042096,42.45174279,7.98877378,-2.70092986,285.6178455,47.01030371,41.9449513,3.16739094,34.66894315,13.3684407
497,21.44634747,-1.28877228,6.61037123,20.86799137,11.67433734,11.88176519,9.10992963,5.97773167,6.81245773,42.71218822,5.48147902,-3.46851021,268.1434586,55.98444184,40.10270384,3.40030559,34.03483235,13.18299559
498,21.17570157,-1.92081141,7.79710053,21.49822882,18.18318608,9.14639358,9.17909628,5.82498753,4.18786063,43.22931117,2.43808157,-4.04167445,267.2875815,74.57115306,39.52008632,3.44452353,33.26811994,10.78409352
499,12.28684203,-0.0556234,8.83089924,25.49754745,19.84770065,4.06404537,10.36845148,5.88823844,3.93613843,42.83171642,3.51259869,0.12265138,94.90683575,117.5774663,16.77589865,60.05619858,9.97758183,89.87647958
500,12.46928164,-0.86966703,10.16389936,25.62636793,19.83436564,4.05352638,10.15003305,6.13865867,4.042033096,43.32347009,2.54110548,-0.60471892,114.3475803,120.7984824,14.63240284,42.61393339,6.0056814,76.15449016
501,12.53841924,-1.64111594,9.96831625,25.77388046,19.81140826,4.84014854,9.84715817,6.29064888,4.143678884,43.52796271,2.87078524,-1.34944567,114.6144867,120.0655469,14.06397929,26.65889961,4.58666287,66.31053118
502,12.48139591,-1.49787637,6.24723222,25.80729751,10.78698529,8.91436259,9.43165422,6.36305227,4.143678884,43.11666545,7.14938425,-1.39615009,64.83494204,115.152445,13.44959449,35.54304192,5.6423327,83.39509946
503,12.30743939,2.53062171,2.64908717,25.73540497,14.14798398,21.01880079,8.98798609,6.36559159,4.300466582,42.34780546,22.51130481,-0.25394671,32.14062625,104.4164607,16.44361126,62.39128967,9.5807494,90.7213887
504,12.03302568,8.39078748,1.62586619,25.67706707,18.16258468,21.34239093,8.49554412,6.33389134,14.23051773,41.67593563,22.97291973,0.95046423,19.67922968,89.57406651,21.37518721,61.99346599,14.5883765,88.29389924
505,12.41966438,0.28577762,5.00932371,21.24538578,18.2331335,7.62837655,8.23009391,6.64411877,2.57154129,39.13920212,4.52315471,-0.39804721,89.82182181,58.91978141,39.82697408,7.4739634,32.79280683,29.14086836
